Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,20242311168
BIIB,Biogen Inc.,Health Care,Biotechnology,51665006592
BLK,BlackRock,Financials,Asset Management & Custody Banks,79679012864
BA,Boeing Company,Industrials,Aerospace & Defense,67719000064
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,56661057536
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,5756998656
BXP,Boston Properties,Real Estate,Office REITs,11644905472
BSX,Boston Scientific,Health Care,Health Care Equipment,48739364864
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,145015799808
AVGO,Broadcom Inc.,Information Technology,Semiconductors,104109580288
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,13267104768
BF-B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,30747543552
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,9759224832
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,7274012160
CDNS,Cadence Design Systems,Information Technology,Application Software,22912878592
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,16152409088
COF,Capital One Financial,Financials,Consumer Finance,26421639168
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,14292714496
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,12323942400
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9996899328
CARR,Carrier Global,Industrials,Building Products,14473516032
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,58410508288
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,10952250368
CBRE,CBRE Group,Real Estate,Real Estate Services,12062661632
CDW,CDW,Information Technology,Technology Distributors,13920122880
CE,Celanese,Materials,Specialty Chemicals,9064616960
CNC,Centene Corporation,Health Care,Managed Health Care,39786164224
CNP,CenterPoint Energy,Utilities,Multi-Utilities,8444637184
CTL,CenturyLink Inc,Communication Services,Alternative Carriers,10173826048
CERN,Cerner,Health Care,Health Care Technology,19816163328
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,5306441216
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,41918074880
CHTR,Charter Communications,Communication Services,Cable & Satellite,103928897536
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,166459932672
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,27102787584
CB,Chubb Limited,Financials,Property & Casualty Insurance,44905504768
CHD,Church & Dwight,Consumer Staples,Household Products,18097723392
CI,CIGNA Corp.,Health Care,Managed Health Care,70161735680
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,7919498752
CTAS,Cintas Corporation,Industrials,Diversified Support Services,23663050752
CSCO,Cisco Systems,Information Technology,Communications Equipment,187743764480
C,Citigroup Inc.,Financials,Diversified Banks,87269474304
CFG,Citizens Financial Group,Financials,Regional Banks,8498250752
CTXS,Citrix Systems,Information Technology,Application Software,18112731136
CLX,The Clorox Company,Consumer Staples,Household Products,26424731648
CME,CME Group Inc.,Financials,Financial Exchanges & Data,64929529856
CMS,CMS Energy,Utilities,Multi-Utilities,15364342784
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,185796935680
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,27126302720
CL,Colgate-Palmolive,Consumer Staples,Household Products,59057602560
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,163944611840
